0,1,2,3,4,5,6,7
1.04,1.03926844,1.03840447,1.0363761,1.03585538,1.03512181,1.03593742,1.03575145
1.04,1.03958783,1.03913898,1.03799164,1.03776045,1.0375738,1.03768796,1.03749532
1.04,1.03933348,1.03853359,1.03667908,1.03630283,1.03585613,1.03621528,1.03609462
1.04,1.03931521,1.03846259,1.03655156,1.03616572,1.03566682,1.03615548,1.03608983
1.04,1.03870288,1.03705941,1.0334643,1.03234133,1.03217253,1.03283739,1.03267851
1.04,1.03854166,1.03669162,1.03265697,1.03147149,1.03106832,1.03205109,1.03173096
1.04,1.03907416,1.03800628,1.03546323,1.03507295,1.03457159,1.03483094,1.03446056
1.04,1.03901386,1.03796206,1.03530384,1.03477781,1.03398655,1.0348213,1.03475558
1.04,1.0388792,1.03766535,1.03465193,1.0341446,1.03337789,1.03397297,1.0337513
1.04,1.03837175,1.03639285,1.03194476,1.03107639,1.03049825,1.03088013,1.03081415
1.04,1.03755473,1.03446366,1.02778438,1.02726375,1.02651701,1.0261278,1.0259942
1.04,1.03828986,1.03624497,1.03160271,1.03108864,1.03032979,1.03025807,1.02998384
1.04,1.03814162,1.0359533,1.03095051,1.03039494,1.02955185,1.03014638,1.02981571
1.04,1.03812175,1.03600267,1.03102826,1.03004906,1.02911306,1.02992147,1.02935789
1.04,1.03780073,1.03515965,1.02924027,1.02819459,1.02685482,1.02836685,1.02798543
1.04,1.03830145,1.03628797,1.03168828,1.03102607,1.03072509,1.03044863,1.03025575
1.04,1.03903917,1.03806545,1.03550378,1.03515469,1.03476723,1.03486937,1.03474363
1.04,1.03867719,1.03717204,1.03359592,1.03309601,1.03242728,1.03304157,1.03292163
1.04,1.03830636,1.03615925,1.0314878,1.03072546,1.03041882,1.0308411,1.03047719
1.04,1.0386698,1.0371373,1.03352991,1.03241954,1.03067708,1.03311872,1.03296923
1.04,1.03820233,1.03593191,1.03098437,1.030646,1.03024098,1.03011082,1.02995045
1.04,1.03915147,1.03829233,1.03601418,1.03557156,1.03489464,1.03566403,1.03559835
1.04,1.03871372,1.03715894,1.03362581,1.03305111,1.03248808,1.03302035,1.03268706
1.04,1.03920266,1.038317,1.03613109,1.03570569,1.03516167,1.03583706,1.03568226
1.04,1.03933938,1.03866045,1.03686004,1.03664567,1.03647228,1.03654849,1.03648287
1.04,1.03923061,1.03835503,1.0362352,1.03583888,1.03552874,1.03591836,1.03581858
1.04,1.03863003,1.03686174,1.03305627,1.03261943,1.03206108,1.0327642,1.03256495
1.04,1.03926047,1.03845574,1.03643011,1.03619898,1.03592874,1.03606372,1.03584938
1.04,1.03833467,1.03626905,1.03169812,1.03070841,1.02913341,1.03127761,1.03120564
1.04,1.03826076,1.03602341,1.03121305,1.03024068,1.02902558,1.0302764000000002,1.02990083
1.04,1.0389248,1.03766502,1.03471596,1.03401908,1.03289691,1.03426872,1.03398972
1.04,1.03861628,1.03697314,1.0331964,1.03284783,1.03231483,1.03212193,1.03193034
1.04,1.03834734,1.03634773,1.03184066,1.03078251,1.02895012,1.03101057,1.0309446
1.04,1.03818131,1.03592983,1.03095241,1.02939881,1.02707139,1.03021817,1.02987096
1.04,1.0383456,1.03647223,1.03205373,1.03123568,1.02992023,1.03108048,1.03071015
1.04,1.03850647,1.03691187,1.03298026,1.03219111,1.03074843,1.03218841,1.03193381
1.04,1.0363808,1.03178039,1.02199462,1.01932191,1.01527594,1.02128188,1.02116055
